iter	Passed	Remaining
0	163	81366
1	167	41703
2	172	28518
3	177	21950
4	182	18018
5	186	15377
6	192	13550
7	197	12125
8	201	10980
9	205	10057
10	209	9297
11	213	8675
12	218	8175
13	222	7717
14	227	7357
15	231	7017
16	236	6706
17	240	6429
18	244	6181
19	248	5955
20	252	5752
21	256	5565
22	260	5394
23	263	5235
24	267	5090
25	272	4960
26	275	4833
27	279	4717
28	284	4614
29	287	4511
30	292	4419
31	296	4330
32	300	4245
33	304	4166
34	308	4092
35	312	4025
36	316	3957
37	320	3892
38	324	3830
39	328	3775
40	332	3721
41	336	3667
42	340	3617
43	344	3570
44	348	3522
45	352	3477
46	356	3435
47	360	3394
48	364	3354
49	368	3315
50	372	3279
51	376	3245
52	380	3211
53	384	3177
54	388	3145
55	392	3114
56	396	3083
57	400	3053
58	404	3024
59	408	2997
60	412	2969
61	416	2943
62	420	2919
63	424	2894
64	428	2869
65	432	2845
66	436	2822
67	440	2799
68	444	2776
69	448	2754
70	452	2732
71	456	2712
72	460	2691
73	464	2671
74	468	2652
75	471	2632
76	475	2613
77	480	2597
78	484	2581
79	489	2567
80	492	2550
81	497	2533
82	500	2516
83	504	2499
84	508	2483
85	512	2467
86	516	2452
87	520	2436
88	524	2420
89	528	2406
90	532	2391
91	535	2376
92	539	2362
93	543	2348
94	547	2333
95	551	2321
96	555	2307
97	559	2294
98	563	2281
99	567	2268
100	571	2256
101	575	2244
102	579	2233
103	583	2221
104	587	2209
105	591	2198
106	595	2187
107	599	2175
108	603	2166
109	607	2155
110	611	2143
111	615	2133
112	620	2123
113	624	2114
114	628	2104
115	632	2094
116	636	2085
117	640	2074
118	644	2065
119	648	2055
120	653	2047
121	657	2038
122	661	2028
123	665	2018
124	669	2009
125	673	1999
126	677	1989
127	681	1981
128	685	1972
129	689	1963
130	693	1953
131	698	1946
132	701	1936
133	705	1928
134	709	1919
135	713	1910
136	717	1902
137	721	1893
138	725	1885
139	729	1876
140	733	1868
141	737	1860
142	741	1851
143	745	1843
144	749	1835
145	753	1827
146	758	1821
147	763	1814
148	767	1807
149	770	1798
150	774	1790
151	778	1783
152	782	1775
153	786	1768
154	791	1760
155	795	1753
156	798	1745
157	802	1737
158	806	1730
159	810	1722
160	814	1715
161	818	1708
162	822	1701
163	827	1694
164	830	1687
165	835	1680
166	838	1672
167	842	1665
168	846	1658
169	851	1652
170	855	1645
171	858	1637
172	862	1631
173	867	1624
174	871	1617
175	875	1611
176	879	1604
177	882	1597
178	887	1590
179	890	1583
180	894	1577
181	899	1570
182	903	1564
183	906	1557
184	910	1550
185	914	1544
186	918	1537
187	922	1531
188	926	1524
189	930	1518
190	934	1511
191	938	1505
192	942	1498
193	945	1492
194	949	1485
195	953	1479
196	957	1473
197	961	1467
198	965	1460
199	969	1454
200	973	1448
201	977	1442
202	982	1437
203	986	1431
204	990	1425
205	994	1419
206	998	1413
207	1002	1407
208	1006	1400
209	1010	1394
210	1014	1388
211	1018	1383
212	1022	1377
213	1026	1371
214	1030	1365
215	1034	1359
216	1038	1354
217	1042	1348
218	1046	1342
219	1050	1336
220	1054	1330
221	1058	1325
222	1062	1319
223	1066	1313
224	1070	1307
225	1074	1302
226	1077	1296
227	1081	1290
228	1086	1285
229	1090	1279
230	1094	1274
231	1098	1268
232	1102	1262
233	1106	1257
234	1110	1252
235	1114	1246
236	1118	1241
237	1122	1235
238	1126	1229
239	1130	1224
240	1134	1218
241	1137	1213
242	1141	1207
243	1146	1203
244	1150	1197
245	1154	1192
246	1158	1186
247	1162	1181
248	1167	1176
249	1172	1172
250	1177	1167
251	1181	1162
252	1185	1157
253	1189	1152
254	1193	1146
255	1197	1141
256	1201	1136
257	1206	1131
258	1210	1126
259	1216	1123
260	1221	1118
261	1225	1113
262	1229	1107
263	1233	1102
264	1237	1096
265	1241	1091
266	1244	1086
267	1248	1080
268	1252	1075
269	1256	1070
270	1260	1065
271	1264	1060
272	1268	1054
273	1272	1049
274	1276	1044
275	1281	1039
276	1285	1034
277	1290	1030
278	1294	1025
279	1298	1020
280	1303	1015
281	1307	1010
282	1311	1005
283	1315	1000
284	1319	995
285	1323	990
286	1327	985
287	1331	980
288	1335	975
289	1339	970
290	1343	965
291	1348	960
292	1352	955
293	1357	951
294	1362	946
295	1366	941
296	1370	936
297	1374	931
298	1378	926
299	1382	921
300	1386	916
301	1391	911
302	1395	907
303	1399	902
304	1404	897
305	1409	893
306	1414	889
307	1418	884
308	1422	879
309	1426	874
310	1430	869
311	1434	864
312	1438	859
313	1443	854
314	1447	850
315	1451	845
316	1455	840
317	1459	835
318	1464	830
319	1468	825
320	1472	821
321	1479	817
322	1483	813
323	1488	808
324	1492	803
325	1496	798
326	1500	793
327	1503	788
328	1508	783
329	1512	778
330	1515	774
331	1519	769
332	1523	764
333	1528	759
334	1532	754
335	1536	750
336	1541	745
337	1545	740
338	1550	736
339	1555	731
340	1559	727
341	1563	722
342	1567	717
343	1571	712
344	1575	707
345	1579	703
346	1583	698
347	1588	693
348	1592	689
349	1597	684
350	1602	680
351	1606	675
352	1612	671
353	1616	666
354	1620	661
355	1624	657
356	1628	652
357	1632	647
358	1637	642
359	1641	638
360	1645	633
361	1649	628
362	1653	624
363	1657	619
364	1661	614
365	1665	609
366	1671	605
367	1676	601
368	1680	596
369	1684	591
370	1688	587
371	1692	582
372	1696	577
373	1700	572
374	1705	568
375	1709	563
376	1713	558
377	1717	554
378	1721	549
379	1725	545
380	1730	540
381	1734	535
382	1740	531
383	1744	526
384	1748	522
385	1752	517
386	1756	512
387	1760	508
388	1764	503
389	1768	498
390	1772	494
391	1776	489
392	1780	484
393	1785	480
394	1789	475
395	1793	470
396	1798	466
397	1802	461
398	1808	457
399	1812	453
400	1816	448
401	1820	443
402	1824	439
403	1829	434
404	1833	430
405	1837	425
406	1841	420
407	1845	416
408	1849	411
409	1853	406
410	1857	402
411	1861	397
412	1866	393
413	1870	388
414	1876	384
415	1880	379
416	1884	375
417	1888	370
418	1892	365
419	1896	361
420	1900	356
421	1904	352
422	1908	347
423	1913	342
424	1917	338
425	1921	333
426	1926	329
427	1932	325
428	1936	320
429	1940	315
430	1944	311
431	1948	306
432	1952	302
433	1956	297
434	1960	292
435	1964	288
436	1968	283
437	1972	279
438	1976	274
439	1981	270
440	1985	265
441	1989	261
442	1994	256
443	2000	252
444	2004	247
445	2009	243
446	2013	238
447	2017	234
448	2021	229
449	2025	225
450	2029	220
451	2033	215
452	2038	211
453	2042	206
454	2046	202
455	2050	197
456	2056	193
457	2061	189
458	2065	184
459	2069	179
460	2073	175
461	2077	170
462	2081	166
463	2085	161
464	2089	157
465	2093	152
466	2097	148
467	2101	143
468	2105	139
469	2109	134
470	2114	130
471	2118	125
472	2123	121
